size,text
132,blockchain
59,Retrieved
35,bitcoin
27,use
26,technology
24,block
23,November
22,transaction
21,source
18,edit
18,new
18,system
17,data
16,digital
15,database
15,distributed
15,private
14,Decentralize
14,network
13,ledger
12,Ethereum
12,contract
12,currency
12,other
11,application
11,chain
11,financial
11,public
10,June
10,all
10,bank
10,business
10,open
10,time
9,September
9,based
9,include
9,industry
9,more
9,no
9,secure
9,smart
9,such
8,IBM
8,cryptocurrency
8,history
8,implement
8,need
8,share
8,than
7,ISBN
7,computer
7,design
7,develop
7,group
7,many
7,one
7,project
7,version
6,also
6,blockchain-based
6,company
6,considered
6,create
6,link
6,list
6,money
6,node
6,over
6,permissioned
6,record
5,Applications
5,Economist
5,Inc
5,January
5,Satoshi
5,Step
5,Use
5,any
5,authors
5,because
5,both
5,central
5,control
5,exchange
5,first
5,general
5,insurance
5,into
5,music
5,p.
5,proof-of-work
5,some
5,store
5,trade
5,user
4,Alternative
4,Capital
4,Economic
4,Fund
4,International
4,July
4,Nakamoto
4,October
4,R3
4,Review
4,Wall
4,York
4,added
4,asset
4,being
4,build
4,built
4,code
4,coin
4,commercial
4,currently
4,economy
4,effort
4,follows
4,land
4,market
4,media
4,mines
4,number
4,nxt
4,offers
4,only
4,payment
4,peer
4,pilot
4,platform
4,read
4,registry
4,research
4,score
4,service
4,software
4,solution
4,started
4,support
4,tech
4,trust
4,two
4,valid
4,various
4,vote
4,work
4,world
3,Andrea
3,April
3,August
3,CS1
3,Computerworld
3,ConsenSys
3,Harvard
3,NSD
3,OReilly
3,PDF
3,Singapore
3,Street
3,Swiss
3,Tapscott
3,Test
3,Virtual
3,Why
3,add
3,allows
3,altchains
3,although
3,announced
3,back
3,behind
3,believe
3,beyond
3,broadcast
3,called
3,ch.
3,citation
3,cloud
3,collaborative
3,collection
3,come
3,community
3,concept
3,connects
3,content
3,copyright
3,corporate
3,creation
3,crowdfunding
3,describes
3,disrupt
3,each
3,electronic
3,enable
3,entry
3,even
3,example
3,expected
3,extend
3,forbes.com
3,forum
3,future
3,global
3,hold
3,hype
3,innovation
3,key
3,language
3,like
3,maint
3,major
3,make
3,methods
3,miner
3,move
3,nothing
3,old
3,online
3,organizations
3,owner
3,parameter
3,participants
3,peer-to-peer
3,permissionless
3,place
3,plan
3,portal
3,power
3,programming
3,protect
3,receives
3,referring
3,remain
3,rollback
3,same
3,set
3,single
3,supply
3,theyre
3,tracking
3,update
3,verify
3,workflow
2,Allison
2,Antonopoulos
2,BlackCoin
2,CLS
2,Category
2,China
2,Constellation
2,Counterparty
2,Cryptography
2,Dash
2,David
2,De
2,Decision
2,Deloitte
2,Description
2,Disadvantages
2,Disruptor
2,Don
2,Further
2,Georgia
2,Hampton
2,Heap
2,Higgins
2,Hyperledger
2,IMF
2,Ian
2,Imogen
2,Insurance
2,Internet
2,IoT
2,Journal
2,Linus
2,Ltd
2,MVCC
2,March
2,Martin
2,MasterCard
2,Messages
2,Michael
2,Microsoft
2,Monetary
2,Nikolai
2,Note
2,P2P
2,Press
2,Republic
2,Reuters
2,Russian
2,SafeShare
2,See
2,Staff
2,Stan
2,Steve
2,Sweden
2,Torvalds
2,Trial
2,Understanding
2,Venture
2,Wilson
2,Wired
2,access
2,across
2,address
2,adopting
2,almost
2,alter
2,always
2,anyone
2,arrive
2,aspect
2,attack
2,basis
2,batches
2,becoming
2,best
2,capability
2,centre
2,changes
2,claims
2,coindesk
2,competitors
2,concurrency
2,conducted
2,consensus
2,consists
2,consortium
2,contain
2,copy
2,core
2,crises
2,cryptocoin
2,deals
2,debate
2,define
2,depository
2,different
2,discuss
2,do
2,effectively
2,efficient
2,eliminate
2,execute
2,expense
2,external
2,face
2,faster
2,finance
2,format
2,ft
2,git
2,goes
2,governance
2,great
2,hash
2,help
2,higher
2,highest
2,https
2,implications
2,improve
2,incentive
2,information
2,inspired
2,integrity
2,issue
2,just
2,know
2,known
2,lack
2,legal
2,level
2,low
2,magazine
2,maintains
2,managers
2,mass
2,massive
2,met
2,models
2,most
2,much
2,multiple
2,object
2,occurs
2,oil
2,original
2,out
2,overwrite
2,password
2,people
2,percent
2,points
2,possible
2,potential
2,prevent
2,problem
2,programmers
2,proof
2,proof-of-stake
2,property
2,protocol
2,prototype
2,pubs
2,pushes
2,rather
2,reach
2,registration
2,related
2,requiring
2,risk
2,sale
2,sdn
2,sdn1603.pdf
2,section
2,sent
2,serve
2,settlement
2,size
2,snake
2,social
2,specified
2,speed
2,spends
2,spin
2,status
2,structure
2,talk
2,technical
2,term
2,time-stamped
2,titles
2,tools
2,tumbler
2,typically
2,very
2,way
2,were
2,whether
2,www.imf.org